author,coauthor,count
"Qiu, Xipeng","Li, Linyang",4
"Li, Yongbin","Huang, Fei",4
"Huang, Xuanjing","Chen, Wei",3
"Wei, Zhongyu","Chen, Wei",3
"Okazaki, Naoaki","Kaneko, Masahiro",3
"Uchendu, Adaku","Lee, Dongwon",3
"Zhang, Kaipeng","Qiao, Yu",3
"Wei, Zhongyu","Huang, Xuanjing",3
"Sun, Maosong","Liu, Zhiyuan",3
"Wang, Lei","Lim, Ee-Peng",3
"Xiong, Caiming","Laban, Philippe",3
"Liu, Xiao","Dong, Yuxiao",3
"Ji, Heng","Chen, Yangyi",3
"Yuan, Lifan","Ji, Heng",3
"Zeng, Aohan","Liu, Xiao",3
"Yuan, Lifan","Chen, Yangyi",3
"Zeng, Aohan","Dong, Yuxiao",3
"Zeng, Aohan","Tang, Jie",3
"Tang, Jie","Liu, Xiao",3
"Han, Jiaming","Gao, Peng",3
"Liang, Yaobo","Duan, Nan",3
"Tang, Jie","Dong, Yuxiao",3
"Tu, Zhaopeng","Jiao, Wenxiang",3
"Wu, Xiaoxia","He, Yuxiong",3
"Zhao, Yilun","Cohan, Arman",3
"Zhao, Yilun","Nan, Linyong",3
"Wu, Chien-Sheng","Laban, Philippe",3
"Tu, Zhaopeng","Shi, Shuming",3
"Tang, Ruixiang","Hu, Xia",3
"Hu, Xia","Han, Xiaotian",3
"Wang, Wenxuan","Huang, Jen-tse",3
"Yao, Zhewei","Wu, Xiaoxia",3
"Yao, Zhewei","He, Yuxiong",3
"Yao, Bingsheng","Wang, Dakuo",3
"Zhang, Renrui","Li, Hongsheng",3
"Nan, Linyong","Cohan, Arman",3
"Wang, Benyou","Wan, Xiang",3
"Wang, Wenxuan","Jiao, Wenxiang",3
"Wang, Wenxuan","Tu, Zhaopeng",3
"Xiong, Caiming","Wu, Chien-Sheng",3
"Jiao, Wenxiang","Huang, Jen-tse",3
"Tu, Zhaopeng","Huang, Jen-tse",3
"Yu, Dong","Yao, Wenlin",3
"Zhao, Sendong","Qin, Bing",2
"Zhao, Sendong","Chen, Yuhan",2
"Zhao, Sendong","Du, Yanrui",2
"Qin, Bing","Du, Yanrui",2
"Shareghi, Ehsan","Liu, Fangyu",2
"Du, Yanrui","Chen, Yuhan",2
"Zhang, Kaipeng","Han, Jiaming",2
"Korbak, Tomasz","Kaufmann, Max",2
"Korbak, Tomasz","Evans, Owain",2
"Evans, Owain","Berglund, Lukas",2
"Evans, Owain","Balesni, Mikita",2
"Haller, Patrick","Akbik, Alan",2
"Shao, Wenqi","Qiao, Yu",2
"Zhang, Kaipeng","Shao, Wenqi",2
"Qiao, Yu","Gao, Peng",2
"Zhang, Kaipeng","Gao, Peng",2
"Zhang, Kaipeng","Yue, Xiangyu",2
"Yue, Xiangyu","Han, Jiaming",2
"Qin, Bing","Chen, Yuhan",2
"Yue, Xiangyu","Qiao, Yu",2
"Qiao, Yu","Han, Jiaming",2
"Yue, Xiangyu","Gao, Peng",2
"Xie, Cihang","Tu, Haoqin",2
"Hooker, Sara","Fadaee, Marzieh",2
"Shen, Zhiqiang","Neiswanger, Willie",2
"Wang, Xingyao","Peng, Hao",2
"Wang, Xingyao","Ji, Heng",2
"Yuan, Lifan","Wang, Xingyao",2
"Yuan, Lifan","Peng, Hao",2
"Peng, Hao","Chen, Yangyi",2
"Peng, Hao","Ji, Heng",2
"Shen, Zhiqiang","Liu, Zhengzhong",2
"Cheng, Wenhua","Cai, Yiyang",2
"Tao, Tianhua","Shen, Zhiqiang",2
"Tao, Tianhua","Neiswanger, Willie",2
"Tao, Tianhua","Liu, Zhengzhong",2
"Tao, Tianhua","Tan, Bowen",2
"Neiswanger, Willie","Liu, Zhengzhong",2
"Wang, Hongyi","Shen, Zhiqiang",2
"Wang, Xingyao","Chen, Yangyi",2
"Wei, Furu","Wang, Liang",2
"Yang, Nan","Wei, Furu",2
"Yang, Nan","Wang, Liang",2
"Yavuz, Semih","Liu, Ye",2
"Zhou, Yingbo","Yavuz, Semih",2
"Zhou, Yingbo","Liu, Ye",2
"Yu, Dong","Pan, Xiaoman",2
"Korbak, Tomasz","Berglund, Lukas",2
"Zhao, Bingchen","Xie, Cihang",2
"Zhao, Bingchen","Tu, Haoqin",2
"Chowdhury, Arijit Ghosh","Chadha, Aman",2
"Lv, Kaokao","Cai, Yiyang",2
"Lv, Kaokao","Cheng, Wenhua",2
"Shen, Haihao","Lv, Kaokao",2
"Shen, Haihao","Cai, Yiyang",2
"Shen, Haihao","Cheng, Wenhua",2
"Korbak, Tomasz","Balesni, Mikita",2
"Berglund, Lukas","Balesni, Mikita",2
"Tong, Meg","Evans, Owain",2
"Tang, Jie","Huang, Minlie",2
"Lei, Xuanyu","Huang, Minlie",2
"Lei, Xuanyu","Dong, Yuxiao",2
"Zeng, Aohan","Lei, Xuanyu",2
"Zeng, Aohan","Huang, Minlie",2
"Huang, Minlie","Dong, Yuxiao",2
"Tang, Jie","Lei, Xuanyu",2
"Hawasly, Majd","Boughorbel, Sabri",2
"Tong, Meg","Korbak, Tomasz",2
"Yuan, Youliang","Jiao, Wenxiang",2
"Yuan, Youliang","Wang, Wenxuan",2
"Yuan, Youliang","Huang, Jen-tse",2
"Yuan, Youliang","Tu, Zhaopeng",2
"Shi, Xiaoming","Ruan, Tong",2
"Kong, Chuyi","Jiang, Feng",2
"Liu, Xiao","Huang, Minlie",2
"Liu, Xiao","Lei, Xuanyu",2
"Lyu, Michael R.","Jiao, Wenxiang",2
"Lyu, Michael R.","Li, Eric John",2
"Lyu, Michael R.","Lam, Man Ho",2
"Lyu, Michael R.","Huang, Jen-tse",2
"Tu, Zhaopeng","Lyu, Michael R.",2
"Tu, Zhaopeng","Ren, Shujie",2
"Tu, Zhaopeng","Li, Eric John",2
"Tu, Zhaopeng","Lam, Man Ho",2
"Wang, Wenxuan","Lyu, Michael R.",2
"Wang, Wenxuan","Ren, Shujie",2
"Wang, Wenxuan","Li, Eric John",2
"Wang, Wenxuan","Lam, Man Ho",2
"Ren, Shujie","Lyu, Michael R.",2
"Ren, Shujie","Jiao, Wenxiang",2
"Ren, Shujie","Li, Eric John",2
"Wan, Xiang","Kong, Chuyi",2
"Wan, Xiang","Jiang, Feng",2
"Wang, Benyou","Kong, Chuyi",2
"Li, Hongsheng","Han, Jiaming",2
"Tong, Meg","Kaufmann, Max",2
"Tong, Meg","Balesni, Mikita",2
"Tong, Meg","Stickland, Asa Cooper",2
"Tong, Meg","Berglund, Lukas",2
"Kaufmann, Max","Evans, Owain",2
"Kaufmann, Max","Balesni, Mikita",2
"Kaufmann, Max","Berglund, Lukas",2
"Stickland, Asa Cooper","Evans, Owain",2
"Stickland, Asa Cooper","Korbak, Tomasz",2
"Stickland, Asa Cooper","Kaufmann, Max",2
"Stickland, Asa Cooper","Balesni, Mikita",2
"Stickland, Asa Cooper","Berglund, Lukas",2
"Wang, Hongyi","Neiswanger, Willie",2
"Li, Hongsheng","Gao, Peng",2
"Li, Hongsheng","Guo, Ziyu",2
"Wang, Benyou","Jiang, Feng",2
"Han, Jiaming","Guo, Ziyu",2
"Zhang, Renrui","Gao, Peng",2
"Zhang, Renrui","Han, Jiaming",2
"Zhang, Renrui","Guo, Ziyu",2
"Guo, Ziyu","Gao, Peng",2
"Nakov, Preslav","Li, Haonan",2
"Wang, Yuxia","Nakov, Preslav",2
"Wang, Sirui","Wang, Keheng",2
"Zhou, Tianyi","Chen, Lichang",2
"Zhou, Tianyi","Chen, Jiuhai",2
"Zhou, Tianyi","Li, Ming",2
"Chen, Lichang","Chen, Jiuhai",2
"Li, Ming","Chen, Lichang",2
"Li, Ming","Chen, Jiuhai",2
"Wang, Hongyi","Tao, Tianhua",2
"Li, Bingxuan","Huang, Xuanjing",2
"Wang, Hongyi","Liu, Zhengzhong",2
"Yang, Sijia","Chuang, Yun-Shiuan",2
"Yang, Sijia","Harlalka, Nikunj",2
"Yang, Sijia","Suresh, Siddharth",2
"Yang, Sijia","Hawkins, Robert",2
"Yang, Sijia","Shah, Dhavan",2
"Yang, Sijia","Hu, Junjie",2
"Yang, Sijia","Rogers, Timothy T.",2
"Shah, Dhavan","Chuang, Yun-Shiuan",2
"Shah, Dhavan","Goyal, Agam",2
"Shah, Dhavan","Harlalka, Nikunj",2
"Shah, Dhavan","Hawkins, Robert",2
"Shah, Dhavan","Hu, Junjie",2
"Shah, Dhavan","Rogers, Timothy T.",2
"Hu, Junjie","Chuang, Yun-Shiuan",2
"Hu, Junjie","Goyal, Agam",2
"Hu, Junjie","Harlalka, Nikunj",2
"Yang, Sijia","Goyal, Agam",2
"Hawkins, Robert","Harlalka, Nikunj",2
"Wang, Hongyi","Tan, Bowen",2
"Hawkins, Robert","Goyal, Agam",2
"Yuan, Shuai","Yuan, Fei",2
"Yuan, Shuai","Wu, Zhiyong",2
"Zhang, Qi","Gui, Tao",2
"Sahu, Gaurav","Laradji, Issam H.",2
"Goyal, Agam","Chuang, Yun-Shiuan",2
"Harlalka, Nikunj","Chuang, Yun-Shiuan",2
"Harlalka, Nikunj","Goyal, Agam",2
"Suresh, Siddharth","Chuang, Yun-Shiuan",2
"Suresh, Siddharth","Goyal, Agam",2
"Suresh, Siddharth","Harlalka, Nikunj",2
"Suresh, Siddharth","Hawkins, Robert",2
"Suresh, Siddharth","Shah, Dhavan",2
"Suresh, Siddharth","Hu, Junjie",2
"Suresh, Siddharth","Rogers, Timothy T.",2
"Hawkins, Robert","Chuang, Yun-Shiuan",2
"Hu, Junjie","Hawkins, Robert",2
"Rogers, Timothy T.","Chuang, Yun-Shiuan",2
"Rogers, Timothy T.","Goyal, Agam",2
"Rogers, Timothy T.","Harlalka, Nikunj",2
"Li, Jianquan","Chen, Junying",2
"Li, Jianquan","Gao, Anningzhe",2
"Li, Jianquan","Chen, Shunian",2
"Wan, Xiang","Chen, Junying",2
"Wan, Xiang","Gao, Anningzhe",2
"Wan, Xiang","Chen, Shunian",2
"Wan, Xiang","Li, Jianquan",2
"Wang, Benyou","Chen, Junying",2
"Wang, Benyou","Gao, Anningzhe",2
"Wang, Benyou","Chen, Shunian",2
"Wang, Benyou","Li, Jianquan",2
"Yao, Bingsheng","Lu, Yuxuan",2
"Zhang, Shao","Yao, Bingsheng",2
"Zhang, Shao","Lu, Yuxuan",2
"Zhang, Shao","Wang, Dakuo",2
"Xie, Wenya","Wang, Benyou",2
"Xie, Wenya","Wan, Xiang",2
"Xie, Wenya","Li, Jianquan",2
"Wang, Xidong","Wan, Xiang",2
"Rogers, Timothy T.","Hawkins, Robert",2
"Rogers, Timothy T.","Hu, Junjie",2
"Wang, Xidong","Chen, Junying",2
"Wang, Xidong","Gao, Anningzhe",2
"Wang, Xidong","Chen, Shunian",2
"Wang, Xidong","Li, Jianquan",2
"Wang, Xidong","Wang, Benyou",2
"Xie, Wenya","Chen, Shunian",2
"Gao, Anningzhe","Chen, Junying",2
"Gao, Anningzhe","Chen, Shunian",2
"Chen, Shunian","Chen, Junying",2
"Xie, Wenya","Chen, Junying",2
"Xie, Wenya","Wang, Xidong",2
"Xie, Wenya","Gao, Anningzhe",2
"Yuan, Fei","Wu, Zhiyong",2
"Shen, Yue","Gu, Jinjie",2
"Shen, Yue","Liu, Lei",2
"Liu, Liyuan","Gao, Jianfeng",2
"Lin, Han","Bansal, Mohit",2
"Zala, Abhay","Lin, Han",2
"Zala, Abhay","Cho, Jaemin",2
"Zala, Abhay","Bansal, Mohit",2
"Cho, Jaemin","Bansal, Mohit",2
"Ma, Yingwei","Jiang, Yu",2
"Ma, Yingwei","Li, Shanshan",2
"Yu, Yue","Ma, Yingwei",2
"Yu, Yue","Jiang, Yu",2
"Yu, Yue","Li, Shanshan",2
"Zhang, Yuanliang","Ma, Yingwei",2
"Zhang, Yuanliang","Yu, Yue",2
"Zhang, Yuanliang","Jiang, Yu",2
"Zhang, Yuanliang","Li, Shanshan",2
"Li, Shanshan","Jiang, Yu",2
"Lin, Han","Cho, Jaemin",2
"Wu, Fei","Kuang, Kun",2
"Wu, Fei","Sun, Changlong",2
"Li, Bingxuan","Chen, Wei",2
"Tan, Bowen","Shen, Zhiqiang",2
"Tan, Bowen","Neiswanger, Willie",2
"Tan, Bowen","Liu, Zhengzhong",2
"Wang, Siyuan","Chen, Wei",2
"Wang, Siyuan","Li, Bingxuan",2
"Wang, Siyuan","Huang, Xuanjing",2
"Ren, Shujie","Huang, Jen-tse",2
"Sun, Changlong","Kuang, Kun",2
"Wei, Zhongyu","Wang, Siyuan",2
"Wei, Zhongyu","Li, Bingxuan",2
"Cifarelli, Davide","Boiardi, Leonardo",2
"Puppo, Alessandro","Cifarelli, Davide",2
"Puppo, Alessandro","Boiardi, Leonardo",2
"Zhao, Fubang","Kang, Yangyang",2
"Shen, Yelong","Gong, Yeyun",2
"Han, Jiawei","Ge, Suyu",2
"Yang, Xiaoyan","Gu, Jinjie",2
"Wu, Qianhui","Jiang, Huiqiang",2
"Xu, Xiangmin","Wang, Zhenyu",2
"Xu, Xiangmin","Xing, Xiaofen",2
"Xu, Xiangmin","Liu, Qi",2
"Huang, Xijie","Cheng, Kwang-Ting",2
"Choi, Yejin","Bhagavatula, Chandra",2
"Ravichander, Abhilasha","Chandu, Khyathi",2
"Ravichander, Abhilasha","Choi, Yejin",2
"Ravichander, Abhilasha","Lin, Bill Yuchen",2
"Choi, Yejin","Chandu, Khyathi",2
"Lin, Bill Yuchen","Chandu, Khyathi",2
"Lin, Bill Yuchen","Choi, Yejin",2
"Mao, Yuning","Khabsa, Madian",2
"Liu, Lei","Gu, Jinjie",2
"Yang, Xiaoyan","Liu, Lei",2
"Yang, Xiaoyan","Shen, Yue",2
"Xu, Xiangmin","Chen, Yirong",2
"Liu, Qi","Chen, Yirong",2
"Xing, Xiaofen","Liu, Qi",2
"Yang, Yuqing","Qiu, Lili",2
